num;nom;slug;sexe;adresse;date_refus;doc_refus;demandes/demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
538;Catherine Troallic;catherine-troallic;F;Permanence parlementaire, 53 Rue Collard, 76600 Le Havre;;;demandes/demande-irfm-catherine-troallic.pdf;;20174151;avis-cada/avis-cada-20174151.pdf;23 novembre 2017;;
539;Jean-Paul Tuaiva;jean-paul-tuaiva;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-jean-paul-tuaiva.pdf;;20174152;avis-cada/avis-cada-20174152.pdf;23 novembre 2017;;
540;Cécile Untermaier;cecile-untermaier;F;9 Rue des dodanes, 71500 Louhans;;;demandes/demande-irfm-cecile-untermaier.pdf;;20174153;avis-cada/avis-cada-20174153.pdf;23 novembre 2017;;
541;Daniel Vaillant;daniel-vaillant;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-daniel-vaillant.pdf;NONE;20174154;avis-cada/avis-cada-20174154.pdf;23 novembre 2017;31 mai 2017;08 juin 2017
542;Jacques Valax;jacques-valax;H;Permanence parlementaire, 26 Bis Boulevard Alsace Lorraine, 81000 Albi;;;demandes/demande-irfm-jacques-valax.pdf;;20174155;avis-cada/avis-cada-20174155.pdf;23 novembre 2017;;
543;Manuel Valls;manuel-valls;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-manuel-valls.pdf;NONE;20174156;avis-cada/avis-cada-20174156.pdf;23 novembre 2017;29 mai 2017;09 juin 2017
544;François Vannson;francois-vannson;H;Permanence secondaire, 2 Rue des Déportés, 88160 Le Thillot;;;demandes/demande-irfm-francois-vannson.pdf;;20174157;avis-cada/avis-cada-20174157.pdf;23 novembre 2017;;
545;Catherine Vautrin;catherine-vautrin;F;Permanence, 8 Rue de Venise, 51100 Reims;;;demandes/demande-irfm-catherine-vautrin.pdf;;20174158;avis-cada/avis-cada-20174158.pdf;23 novembre 2017;;
546;Michel Vauzelle;michel-vauzelle;H;Permanence parlementaire, 15 Rue de la Calade, 13200 Arles;;;demandes/demande-irfm-michel-vauzelle.pdf;;20174159;avis-cada/avis-cada-20174159.pdf;23 novembre 2017;;06 juin 2017
547;Francis Vercamer;francis-vercamer;H;Permanence parlementaire, 69 Rue du Général Leclerc, BP 70707, 59510 Hem;;;demandes/demande-irfm-francis-vercamer.pdf;preuves-envoi/preuve-envoi-francis-vercamer.jpg;20173886;avis-cada/avis-cada-20173886.pdf;04 décembre 2017;24 juin 2017;
548;Patrice Verchère;patrice-verchere;H;24 Avenue Charles de Gaulle, 69170 Tarare;;;demandes/demande-irfm-patrice-verchere.pdf;;20173889;avis-cada/avis-cada-20173889.pdf;04 décembre 2017;;
549;Fabrice Verdier;fabrice-verdier;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-fabrice-verdier.pdf;NONE;20173891;avis-cada/avis-cada-20173891.pdf;04 décembre 2017;26 mai 2017;06 juin 2017
550;Michel Vergnier;michel-vergnier;H;Permanence parlementaire, 64 Avenue Louis Laroche, 23000 Guéret;;;demandes/demande-irfm-michel-vergnier.pdf;NONE;20173894;avis-cada/avis-cada-20173894.pdf;04 décembre 2017;22 juin 2017;27 juin 2017
551;Arnaud Viala;arnaud-viala;H;Permanence de Saint-Affrique, 1 Place Foch, 12400 Saint-Affrique;;;demandes/demande-irfm-arnaud-viala.pdf;NONE;20173901;avis-cada/avis-cada-20173901.pdf;27 novembre 2017;25 mai 2017;06 juin 2017
552;Jean-Sébastien Vialatte;jean-sebastien-vialatte;H;Permanence parlementaire, 87 Rue de la République, Les Terrasses d'Engaline, 83140 Six-Fours-les-Plages;;;demandes/demande-irfm-jean-sebastien-vialatte.pdf;NONE;20174100;avis-cada/avis-cada-20174100.pdf;23 novembre 2017;30 mai 2017;08 juin 2017
553;Jean-Pierre Vigier;jean-pierre-vigier;H;Permanence parlementaire, 12 Avenue Clément Charbonnier, 43000 Le-Puy-en-Velay;;;demandes/demande-irfm-jean-pierre-vigier.pdf;NONE;20174161;avis-cada/avis-cada-20174161.pdf;23 novembre 2017;02 juin 2017;09 juin 2017
554;Philippe Vigier;philippe-vigier;H;Permanence parlementaire, 33 Rue Gambetta, 28200 Châteaudun;;;demandes/demande-irfm-philippe-vigier.pdf;;20174162;avis-cada/avis-cada-20174162.pdf;23 novembre 2017;;
555;Patrick Vignal;patrick-vignal;H;Permanence parlementaire, 129 Rue Andy Warhol, Résidence des Arts, 34000 Montpellier;;;demandes/demande-irfm-patrick-vignal.pdf;;20174163;avis-cada/avis-cada-20174163.pdf;23 novembre 2017;;
556;François-Xavier Villain;francois-xavier-villain;H;Hôtel de Ville, 2 Rue de Nice, 59400 Cambrai;;;demandes/demande-irfm-francois-xavier-villain.pdf;;20174164;avis-cada/avis-cada-20174164.pdf;23 novembre 2017;;
557;Jean-Michel Villaumé;jean-michel-villaume;H;Permanence parlementaire de Luxeuil, 36 Rue Jules Jeanneney, 70300 Luxeuil les Bains;;;demandes/demande-irfm-jean-michel-villaume.pdf;NONE;20174167;avis-cada/avis-cada-20174167.pdf;23 novembre 2017;22 juin 2017;
558;Philippe Vitel;philippe-vitel;H;Le Concorde, 280 Avenue Maréchal Foch, 83000 Toulon;;;demandes/demande-irfm-philippe-vitel.pdf;;20174168;avis-cada/avis-cada-20174168.pdf;23 novembre 2017;;
559;Jean Jacques Vlody;jean-jacques-vlody;H;190 Rue Jules Bertaut, 97430 Le Tampon;;;demandes/demande-irfm-jean-jacques-vlody.pdf;preuves-envoi/preuve-envoi-jean-jacques-vlody.pdf;20174169;avis-cada/avis-cada-20174169.pdf;23 novembre 2017;16 juin 2017;
560;Michel Voisin;michel-voisin;H;Permanence parlementaire, 21 Rue de la Croix-Colin, BP 28, 01750 Replonges;;;demandes/demande-irfm-michel-voisin.pdf;NONE;20174170;avis-cada/avis-cada-20174170.pdf;23 novembre 2017;23 mai 2017;06 juin 2017
561;Jean-Luc Warsmann;jean-luc-warsmann;H;Permanence, 11 Rue Carnot, 08200 Sedan;;;demandes/demande-irfm-jean-luc-warsmann.pdf;NONE;20174171;avis-cada/avis-cada-20174171.pdf;23 novembre 2017;30 juin 2017;05 juillet 2017
562;Laurent Wauquiez;laurent-wauquiez;H;Permanence parlementaire, 2 Rue des Alliés, 43200 Yssingeaux;;;demandes/demande-irfm-laurent-wauquiez.pdf;NONE;20174172;avis-cada/avis-cada-20174172.pdf;23 novembre 2017;02 juin 2017;06 juin 2017
